repository,source,line,methods,declared_route_without_blueprint_prefix,handler
hfg-booking,app/__init__.py,147,OPTIONS,/api,api_preflight
hfg-booking,app/__init__.py,147,OPTIONS,/api/<path:_path>,api_preflight
hfg-booking,controllers/booking_controller.py,1731,GET,/vendor/<int:vendor_id>/squad-pricing-policy,get_squad_pricing_policy
hfg-booking,controllers/booking_controller.py,1760,POST,/bookings/pricing-preview,booking_pricing_preview
hfg-booking,controllers/booking_controller.py,2138,GET,/bookings/pricing-estimate,booking_pricing_estimate
hfg-booking,controllers/booking_controller.py,2820,POST,/create_order,create_order
hfg-booking,controllers/booking_controller.py,2863,POST,/capture_payment,capture_payment
hfg-booking,controllers/booking_controller.py,2916,POST,/bookings,create_booking
hfg-booking,controllers/booking_controller.py,3187,POST,/release_slot,release_slot
hfg-booking,controllers/booking_controller.py,3235,POST,/generate_payment_link,generate_payment_link
hfg-booking,controllers/booking_controller.py,3605,POST,/bookings/confirm,confirm_booking
hfg-booking,controllers/booking_controller.py,3605,POST,/confirm/bookings,confirm_booking
hfg-booking,controllers/booking_controller.py,4441,POST,/redeem-voucher,redeem_voucher
hfg-booking,controllers/booking_controller.py,4479,GET,/users/bookings,get_user_bookings
hfg-booking,controllers/booking_controller.py,4517,DELETE,/bookings/<int:booking_id>,cancel_booking
hfg-booking,controllers/booking_controller.py,4534,POST,/bookings/direct,direct_booking
hfg-booking,controllers/booking_controller.py,4755,POST,/bookings/reject,reject_booking
hfg-booking,controllers/booking_controller.py,4913,PUT,/update_booking/<int:booking_id>,update_booking
hfg-booking,controllers/booking_controller.py,5019,GET,/vendor/<int:vendor_id>/bookings,get_vendor_bookings
hfg-booking,controllers/booking_controller.py,5057,POST,/newBooking/vendor/<int:vendor_id>,new_booking
hfg-booking,controllers/booking_controller.py,6583,POST,/bookings/cancel,cancel_bookings_route
hfg-booking,controllers/booking_controller.py,6610,POST,/bookings/cancel/app,cancel_bookings_app_route
hfg-booking,controllers/booking_controller.py,6976,POST,/bookings/no-show,mark_bookings_no_show_route
hfg-booking,controllers/booking_controller.py,7003,POST,/bookings/no-show/app,mark_bookings_no_show_app_route
hfg-booking,controllers/booking_controller.py,7053,GET|OPTIONS,/booking/<int:booking_id>/details,get_booking_details
hfg-booking,controllers/booking_controller.py,7191,POST,/vendor/<int:vendor_id>/validate-meals,validate_selected_meals
hfg-booking,controllers/booking_controller.py,7255,GET,/vendor/<int:vendor_id>/booking-stats,get_vendor_booking_stats
hfg-booking,controllers/booking_controller.py,7330,POST,/extraBooking,extra_booking
hfg-booking,controllers/booking_controller.py,7539,GET,/getAllBooking/vendor/<int:vendor_id>/<string:date>/,get_all_booking
hfg-booking,controllers/booking_controller.py,7599,GET|PUT|OPTIONS,/vendor/<int:vendor_id>/booking-field-confg,vendor_booking_field_config
hfg-booking,controllers/booking_controller.py,7599,GET|PUT|OPTIONS,/vendor/<int:vendor_id>/booking-field-config,vendor_booking_field_config
hfg-booking,controllers/booking_controller.py,7677,GET|POST|OPTIONS,/vendor/<string:vendor_id>/users,get_user_details
hfg-booking,controllers/booking_controller.py,7936,GET,/vendor/<string:vendor_id>/getConsoleStatus/<int:console_id>,get_console_status
hfg-booking,controllers/booking_controller.py,7969,POST,/jobs/render/create,create_render_one_off_job
hfg-booking,controllers/booking_controller.py,8021,POST,/release_slot_job,release_slot_controller
hfg-booking,controllers/booking_controller.py,8166,GET,/pay-at-cafe/settings/<int:vendor_id>,get_pay_at_cafe_settings
hfg-booking,controllers/booking_controller.py,8177,PUT,/pay-at-cafe/settings/<int:vendor_id>,update_pay_at_cafe_settings
hfg-booking,controllers/booking_controller.py,8193,GET,/pay-at-cafe/queue-summary/<int:vendor_id>,get_pay_at_cafe_queue_summary
hfg-booking,controllers/booking_controller.py,8387,GET,/pay-at-cafe/queue-list/<int:vendor_id>,get_pay_at_cafe_queue_list
hfg-booking,controllers/booking_controller.py,8506,GET,/pay-at-cafe/pending/<int:vendor_id>,get_pending_pay_at_cafe_bookings
hfg-booking,controllers/booking_controller.py,8726,GET,/pay-at-cafe/email-action,pay_at_cafe_email_action
hfg-booking,controllers/booking_controller.py,8824,POST,/pay-at-cafe/accept,accept_pay_at_cafe_booking
hfg-booking,controllers/booking_controller.py,9127,POST,/pay-at-cafe/reject,reject_pay_at_cafe_booking
hfg-booking,controllers/booking_controller.py,9272,POST|OPTIONS,/booking/<int:booking_id>/add-meals,add_meals_to_booking
hfg-booking,controllers/booking_controller.py,9643,GET,/booking/<int:booking_id>/payment-summary,booking_payment_summary
hfg-booking,controllers/booking_controller.py,9671,POST,/booking/<int:booking_id>/settle-pending,settle_pending_booking_transactions
hfg-booking,controllers/booking_controller.py,10015,POST,/kiosk/next-slot/check/vendor/<int:vendor_id>,kiosk_check_next_slot
hfg-booking,controllers/booking_controller.py,10099,POST,/kiosk/next-slot/vendor/<int:vendor_id>,kiosk_book_next_slot
hfg-booking,controllers/booking_controller.py,10469,GET,/vendor/<int:vendor_id>/booking-records,get_slot_bookings
hfg-booking,controllers/booking_controller.py,10469,GET,/vendor/<int:vendor_id>/slot-bookings,get_slot_bookings
hfg-booking,controllers/booking_controller.py,10621,GET|PUT,/vendor/<int:vendor_id>/tax-profile,vendor_tax_profile
hfg-booking,controllers/booking_controller.py,10662,GET,/vendor/<int:vendor_id>/time-wallet/<int:user_id>,get_time_wallet
hfg-booking,controllers/booking_controller.py,10705,POST,/vendor/<int:vendor_id>/time-wallet/credit-unused,credit_unused_slots_to_wallet
hfg-booking,controllers/booking_controller.py,10782,GET,/vendor/<int:vendor_id>/monthly-credit/eligibility/<int:user_id>,monthly_credit_eligibility
hfg-booking,controllers/booking_controller.py,10795,GET|PUT,/vendor/<int:vendor_id>/monthly-credit/accounts,monthly_credit_accounts
hfg-booking,controllers/booking_controller.py,10860,GET,/vendor/<int:vendor_id>/monthly-credit/statement/<int:user_id>,monthly_credit_statement
hfg-booking,controllers/booking_controller.py,10921,POST,/vendor/<int:vendor_id>/monthly-credit/settle,settle_monthly_credit
hfg-booking,controllers/game_controller.py,50,GET,/games,get_all_games
hfg-booking,controllers/game_controller.py,61,GET,/games/vendor/<int:vendor_id>,get_games_by_vendor_id
hfg-booking,controllers/game_controller.py,194,POST,/bookings,create_booking
hfg-booking,controllers/game_controller.py,208,GET,/bookings/user/<int:user_id>,get_user_bookings
hfg-booking,controllers/game_controller.py,218,DELETE,/bookings/<int:booking_id>,cancel_booking
hfg-booking,controllers/game_controller.py,228,GET,/getAllConsole/vendor/<int:vendor_id>,get_all_console_by_vendor_id
hfg-booking,controllers/game_controller.py,293,GET,/console-types/vendor/<int:vendor_id>,get_console_types_by_vendor
hfg-booking,controllers/game_controller.py,305,GET,/console-types,get_console_types
hfg-booking,controllers/game_controller.py,328,GET,/console-types/vendor/<int:vendor_id>/overrides,get_console_type_overrides
hfg-booking,controllers/game_controller.py,341,POST,/console-types/vendor/<int:vendor_id>/overrides,create_or_update_console_type_override
hfg-booking,controllers/game_controller.py,364,DELETE,/console-types/vendor/<int:vendor_id>/overrides/<string:slug>,deactivate_console_type_override
hfg-booking,controllers/gaming_type_controller.py,7,GET,/gaming-types,get_gaming_types
hfg-booking,controllers/gaming_type_controller.py,12,POST,/gaming-types,create_gaming_type
hfg-booking,controllers/gaming_type_controller.py,18,DELETE,/gaming-types/<int:gaming_type_id>,delete_gaming_type
hfg-booking,controllers/pass_controller.py,165,POST,/pass/validate,validate_pass
hfg-booking,controllers/pass_controller.py,251,GET,/pass/dashboard/valid-options,get_dashboard_user_valid_passes
hfg-booking,controllers/pass_controller.py,353,POST,/pass/dashboard/otp/send,send_dashboard_pass_otp
hfg-booking,controllers/pass_controller.py,462,POST,/pass/dashboard/otp/verify,verify_dashboard_pass_otp
hfg-booking,controllers/pass_controller.py,521,POST,/pass/redeem/dashboard,redeem_pass_dashboard
hfg-booking,controllers/pass_controller.py,619,POST,/pass/redeem/app,redeem_pass_app
hfg-booking,controllers/pass_controller.py,694,GET,/pass/user/active,get_user_active_passes
hfg-booking,controllers/pass_controller.py,714,GET,/pass/<int:user_pass_id>/history,get_pass_history
hfg-booking,controllers/pass_controller.py,733,POST,/pass/redemption/<int:redemption_id>/cancel,cancel_redemption
hfg-booking,controllers/pass_controller.py,760,POST,/pass/create-hour-pass,create_hour_pass
hfg-booking,controllers/pass_controller.py,795,POST,/user/passes/purchase,purchase_pass
hfg-booking,controllers/pass_controller.py,908,GET,/vendor/<int:vendor_id>/passes/available,get_available_passes_for_purchase
hfg-booking,controllers/slot_controller.py,336,GET,/slots,get_slots
hfg-booking,controllers/slot_controller.py,346,GET,/getSlots/vendor/<int:vendorId>/game/<int:gameId>/<string:date>,get_slots_on_game_id
hfg-booking,controllers/slot_controller.py,433,POST,/getSlotsBatch/vendor/<int:vendorId>,get_slots_batch
hfg-booking,controllers/slot_controller.py,591,GET,/getSlotList/vendor/<int:vendor_id>/game/<int:game_id>,get_next_six_slot_for_game
hfg-dashboard-service,app/controllers/access_controller.py,72,POST,/session/owner,issue_owner_session
hfg-dashboard-service,app/controllers/access_controller.py,162,POST,/unlock,unlock_staff_session
hfg-dashboard-service,app/controllers/access_controller.py,192,GET,/staff,list_staff
hfg-dashboard-service,app/controllers/access_controller.py,208,POST,/staff,create_staff_member
hfg-dashboard-service,app/controllers/access_controller.py,234,PATCH,/staff/<int:staff_id>,update_staff_member
hfg-dashboard-service,app/controllers/access_controller.py,330,DELETE,/staff/<int:staff_id>,delete_staff_member
hfg-dashboard-service,app/controllers/access_controller.py,346,GET,/role-permissions,get_permissions
hfg-dashboard-service,app/controllers/access_controller.py,360,PUT,/role-permissions,update_permissions
hfg-dashboard-service,app/controllers/access_controller.py,376,DELETE,/role-permissions,reset_permissions
hfg-dashboard-service,app/controllers/admin_games_controller.py,11,POST,/games,create_game
hfg-dashboard-service,app/controllers/admin_games_controller.py,43,PUT,/games/<int:game_id>,update_game
hfg-dashboard-service,app/controllers/booking_bridge_controller.py,8,GET,/status,status
hfg-dashboard-service,app/controllers/booking_bridge_controller.py,12,POST,/join,join_vendor_room
hfg-dashboard-service,app/controllers/booking_bridge_controller.py,24,POST,/leave,leave_vendor_room
hfg-dashboard-service,app/controllers/event_controller.py,106,POST,/getJwt,issue_jwt
hfg-dashboard-service,app/controllers/event_controller.py,162,POST,/,post_event
hfg-dashboard-service,app/controllers/event_controller.py,175,GET,/,get_events
hfg-dashboard-service,app/controllers/event_controller.py,184,GET,/<uuid:event_id>,get_event
hfg-dashboard-service,app/controllers/event_controller.py,194,GET,/<uuid:event_id>/detail,get_event_detail
hfg-dashboard-service,app/controllers/event_controller.py,208,PATCH,/<uuid:event_id>,patch_event
hfg-dashboard-service,app/controllers/event_controller.py,220,POST,/upload-banner,upload_banner
hfg-dashboard-service,app/controllers/event_controller.py,248,DELETE,/delete-banner,delete_banner
hfg-dashboard-service,app/controllers/internal_ws_controller.py,28,POST,/unlock,internal_send_unlock
hfg-dashboard-service,app/controllers/internal_ws_controller.py,98,POST,/store-updated,internal_store_updated
hfg-dashboard-service,app/controllers/package_controller.py,48,GET,/,list_packages
hfg-dashboard-service,app/controllers/package_controller.py,87,GET,/<package_code>,get_package
hfg-dashboard-service,app/controllers/package_controller.py,114,GET,/admin/catalog,admin_catalog
hfg-dashboard-service,app/controllers/package_controller.py,123,PUT,/admin/catalog,upsert_admin_catalog
hfg-dashboard-service,app/controllers/package_controller.py,172,DELETE,/admin/catalog/<package_code>,delete_admin_catalog_item
hfg-dashboard-service,app/controllers/pricingController.py,157,GET,/vendor/<int:vendor_id>/pricing-offers,get_pricing_offers
hfg-dashboard-service,app/controllers/pricingController.py,205,GET,/vendor/<int:vendor_id>/active-pricing,get_active_pricing
hfg-dashboard-service,app/controllers/pricingController.py,295,POST,/vendor/<int:vendor_id>/pricing-offers,create_pricing_offer
hfg-dashboard-service,app/controllers/pricingController.py,442,PUT,/vendor/<int:vendor_id>/pricing-offers/<int:offer_id>,update_pricing_offer
hfg-dashboard-service,app/controllers/pricingController.py,512,DELETE,/vendor/<int:vendor_id>/pricing-offers/<int:offer_id>,delete_pricing_offer
hfg-dashboard-service,app/controllers/pricingController.py,550,GET,/vendor/<int:vendor_id>/available-games,get_vendor_available_games
hfg-dashboard-service,app/controllers/pricingController.py,567,GET,/vendor/<int:vendor_id>/controller-pricing,get_controller_pricing
hfg-dashboard-service,app/controllers/pricingController.py,607,PUT,/vendor/<int:vendor_id>/controller-pricing,upsert_controller_pricing
hfg-dashboard-service,app/controllers/pricingController.py,744,GET,/vendor/<int:vendor_id>/controller-pricing/calculate,calculate_controller_pricing
hfg-dashboard-service,app/controllers/pricingController.py,798,GET,/vendor/<int:vendor_id>/squad-pricing-rules,get_squad_pricing_rules
hfg-dashboard-service,app/controllers/pricingController.py,837,PUT,/vendor/<int:vendor_id>/squad-pricing-rules,upsert_squad_pricing_rules
hfg-dashboard-service,app/controllers/registration_controller.py,18,GET,/,list_registrations
